,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48579,Hamza,No,No,3.9,173,Shivajinagar,Casual Dining,"North Indian, Chinese",500,Dine-out
48580,Slo' Food Co.2,No,Yes,3.9,50,Ulsoor,Casual Dining,"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",2000,Dine-out
48581,Shezan,Yes,No,4.2,402,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",600,Dine-out
48582,The Grill House,Yes,Yes,4.1,774,Ulsoor,"Casual Dining, Bar","American, Mexican, Italian, Steak",1200,Dine-out
48583,Infinitea Tea Room & Tea Store,Yes,Yes,4.2,864,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000,Dine-out
48585,Mudpipe Cafe,Yes,No,4.2,745,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750,Dine-out
48587,Tiger Trail - Ramada Hotel,Yes,Yes,4.0,189,Shivajinagar,"Casual Dining, Bar","North Indian, Lucknowi",1300,Dine-out
48588,Mani's Dum Biryani,Yes,No,4.0,180,Ulsoor,Casual Dining,"Biryani, Andhra",750,Dine-out
48589,Utse Kitchen,Yes,No,4.2,182,Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos",800,Dine-out
48591,Ramana's,Yes,Yes,4.0,380,Cunningham Road,Casual Dining,"North Indian, Chinese, Healthy Food",850,Dine-out
48594,Chung's Chinese Corner,Yes,No,3.4,207,Cunningham Road,Casual Dining,"Chinese, Asian, American, Seafood",600,Dine-out
48595,Ta'aam,No,No,4.1,405,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750,Dine-out
48596,Taj Hotel,Yes,No,3.7,111,Shivajinagar,Casual Dining,"Mughlai, Chinese",700,Dine-out
48598,Hotel Nisarga Grand,No,No,3.8,36,City Market,Casual Dining,"South Indian, North Indian, Chinese",500,Dine-out
48600,New Prashanth Naati Style,No,No,3.8,33,Cunningham Road,Quick Bites,"South Indian, Biryani",400,Dine-out
48602,Amritsari Kulcha Bite,Yes,No,3.9,116,Ulsoor,Quick Bites,North Indian,150,Dine-out
